world file,detector,distance
star,Convolutional-(16x16),15172.434487499551
star,Convolutional-(32x32),28062.549415774683
star,Convolutional-(64x64),48311.236381878465
star,Convolutional-(128x128),78503.40783340886
star,Simple,258727.2860793107
star,ExpandingWavefront,4816.866329834292
star,NaiveActiveArea,903964.5215756693
large-field-large-explored,Convolutional-(16x16),4692.923056593443
large-field-large-explored,Convolutional-(32x32),11134.283733285762
large-field-large-explored,Convolutional-(64x64),42656.67356998428
large-field-large-explored,Convolutional-(128x128),42060.596379418435
large-field-large-explored,Simple,1438.9632810373646
large-field-large-explored,ExpandingWavefront,855.0177371437634
large-field-large-explored,NaiveActiveArea,148802.99380440035
large-field-medium-explored,Convolutional-(16x16),6104.908622058821
large-field-medium-explored,Convolutional-(32x32),6477.964416602345
large-field-medium-explored,Convolutional-(64x64),12480.877372749592
large-field-medium-explored,Convolutional-(128x128),16370.889295968933
large-field-medium-explored,Simple,962.2698013700953
large-field-medium-explored,ExpandingWavefront,606.6265381411256
large-field-medium-explored,NaiveActiveArea,100422.24232085029
medium-field-large-explored,Convolutional-(16x16),4220.082316960596
medium-field-large-explored,Convolutional-(32x32),8019.594138496784
medium-field-large-explored,Convolutional-(64x64),13878.834152105073
medium-field-large-explored,Convolutional-(128x128),28695.59090233981
medium-field-large-explored,Simple,1277.1617747688292
medium-field-large-explored,ExpandingWavefront,659.2676495743731
medium-field-large-explored,NaiveActiveArea,93067.74698652646
medium-field-medium-explored,Convolutional-(16x16),2085.0297018367232
medium-field-medium-explored,Convolutional-(32x32),4026.9268275663653
medium-field-medium-explored,Convolutional-(64x64),9790.324937747506
medium-field-medium-explored,Convolutional-(128x128),13020.50058329248
medium-field-medium-explored,Simple,732.7693830599633
medium-field-medium-explored,ExpandingWavefront,607.5482936913404
medium-field-medium-explored,NaiveActiveArea,44568.67797873495
