algorithm,average time,total time,best time,worst time,number iterations,world file
Simple,11.337194621562958,453.4877848625183,11.17699933052063,12.622265338897705,40,star
Convolutional-(8x8),0.06062548160552979,2.4250192642211914,0.05899643898010254,0.06599926948547363,40,star
Convolutional-(16x16),0.018900030851364137,0.7560012340545654,0.017998933792114258,0.020000934600830078,40,star
Convolutional-(32x32),0.00784991979598999,0.3139967918395996,0.006995677947998047,0.01000356674194336,40,star
Convolutional-(64x64),0.004825007915496826,0.19300031661987305,0.003997325897216797,0.005013704299926758,40,star
Convolutional-(128x128),0.00414993166923523,0.16599726676940918,0.0029997825622558594,0.00599980354309082,40,star
ExpandingWavefront,0.6965796411037445,27.86318564414978,0.6889979839324951,0.7190217971801758,40,star
NaiveActiveArea,0.3026142954826355,12.10457181930542,0.2989990711212158,0.32000088691711426,40,star
Simple,8.116232359409333,324.6492943763733,8.079022407531738,8.24701976776123,40,large-field-large-explored
Convolutional-(8x8),0.05975049138069153,2.390019655227661,0.057999372482299805,0.069000244140625,40,large-field-large-explored
Convolutional-(16x16),0.018025016784667967,0.7210006713867188,0.01699686050415039,0.019002914428710938,40,large-field-large-explored
Convolutional-(32x32),0.007424962520599365,0.2969985008239746,0.006992816925048828,0.009000062942504883,40,large-field-large-explored
Convolutional-(64x64),0.004724973440170288,0.18899893760681152,0.003998517990112305,0.005014657974243164,40,large-field-large-explored
Convolutional-(128x128),0.00377500057220459,0.1510000228881836,0.0029964447021484375,0.0050122737884521484,40,large-field-large-explored
ExpandingWavefront,0.3229252099990845,12.917008399963379,0.3189969062805176,0.3490002155303955,40,large-field-large-explored
NaiveActiveArea,0.4465260624885559,17.861042499542236,0.4429965019226074,0.46399903297424316,40,large-field-large-explored
Simple,3.5772440135478973,143.0897605419159,3.559999704360962,3.633999824523926,40,large-field-medium-explored
Convolutional-(8x8),0.05807507634162903,2.323003053665161,0.055999040603637695,0.06699872016906738,40,large-field-medium-explored
Convolutional-(16x16),0.017175006866455077,0.6870002746582031,0.015996456146240234,0.018003463745117188,40,large-field-medium-explored
Convolutional-(32x32),0.007249981164932251,0.28999924659729004,0.006991147994995117,0.008999347686767578,40,large-field-medium-explored
Convolutional-(64x64),0.004400038719177246,0.17600154876708984,0.003997087478637695,0.006000041961669922,40,large-field-medium-explored
Convolutional-(128x128),0.003649997711181641,0.14599990844726562,0.002998828887939453,0.004001617431640625,40,large-field-medium-explored
ExpandingWavefront,0.22783270478248596,9.113308191299438,0.22499918937683105,0.24399924278259277,40,large-field-medium-explored
NaiveActiveArea,0.04849061369895935,1.939624547958374,0.046994924545288086,0.05300474166870117,40,large-field-medium-explored
Simple,2.3572960197925568,94.29184079170227,2.3450005054473877,2.3779993057250977,40,medium-field-large-explored
Convolutional-(8x8),0.01649995446205139,0.6599981784820557,0.014999866485595703,0.02000117301940918,40,medium-field-large-explored
Convolutional-(16x16),0.0049000084400177,0.196000337600708,0.003998756408691406,0.00500178337097168,40,medium-field-large-explored
Convolutional-(32x32),0.001974928379058838,0.07899713516235352,0.0009999275207519531,0.002999544143676758,40,medium-field-large-explored
Convolutional-(64x64),0.0011250972747802734,0.04500389099121094,0.0009982585906982422,0.0020012855529785156,40,medium-field-large-explored
Convolutional-(128x128),0.0009250104427337647,0.037000417709350586,0.0,0.001997232437133789,40,medium-field-large-explored
ExpandingWavefront,0.1945252537727356,7.781010150909424,0.19199585914611816,0.21599864959716797,40,medium-field-large-explored
NaiveActiveArea,0.18097537755966187,7.239015102386475,0.17958998680114746,0.1900022029876709,40,medium-field-large-explored
Simple,1.4868446707725524,59.4737868309021,1.4700250625610352,1.5761094093322754,40,medium-field-medium-explored
Convolutional-(8x8),0.015725451707839965,0.6290180683135986,0.014510393142700195,0.019014835357666016,40,medium-field-medium-explored
Convolutional-(16x16),0.004981738328933716,0.19926953315734863,0.0039975643157958984,0.006511211395263672,40,medium-field-medium-explored
Convolutional-(32x32),0.0019447028636932373,0.07778811454772949,0.0009999275207519531,0.0030028820037841797,40,medium-field-medium-explored
Convolutional-(64x64),0.001201874017715454,0.048074960708618164,0.0,0.002509593963623047,40,medium-field-medium-explored
Convolutional-(128x128),0.0010062992572784425,0.040251970291137695,0.0,0.0020117759704589844,40,medium-field-medium-explored
ExpandingWavefront,0.16302355527877807,6.520942211151123,0.16070079803466797,0.1802539825439453,40,medium-field-medium-explored
NaiveActiveArea,0.250674831867218,10.02699327468872,0.24790096282958984,0.27586936950683594,40,medium-field-medium-explored
